filename,path,duration,sample_rate,channels
Gandingan_Gong_02_den_C#2+50(7).wav,preprocessing\Gandingan_Gong_02_den_C#2+50(7).wav,6.454916666666667,48000,1
Gandingan_Gong_02_den_C#2+50(8).wav,preprocessing\Gandingan_Gong_02_den_C#2+50(8).wav,8.759,48000,1
Gandingan_Gong_03_den_E2+30(02).wav,preprocessing\Gandingan_Gong_03_den_E2+30(02).wav,4.818770833333334,48000,1
Gandingan_Gong_03_den_E2+30(03).wav,preprocessing\Gandingan_Gong_03_den_E2+30(03).wav,5.856645833333333,48000,1
Gandingan_Gong_03_den_E2+30(04).wav,preprocessing\Gandingan_Gong_03_den_E2+30(04).wav,5.9671875,48000,1
Gandingan_Gong_03_den_E2+30(05).wav,preprocessing\Gandingan_Gong_03_den_E2+30(05).wav,6.373854166666667,48000,1
Gandingan_Gong_03_den_E2+30(06).wav,preprocessing\Gandingan_Gong_03_den_E2+30(06).wav,6.718791666666666,48000,1
Gandingan_Gong_03_den_E2+30(07).wav,preprocessing\Gandingan_Gong_03_den_E2+30(07).wav,6.572,48000,1
Gandingan_Gong_03_den_E2+30(08).wav,preprocessing\Gandingan_Gong_03_den_E2+30(08).wav,6.81375,48000,1
Gandingan_Gong_03_den_E2+30(09).wav,preprocessing\Gandingan_Gong_03_den_E2+30(09).wav,6.453708333333333,48000,1
Gandingan_Gong_03_den_E2+30(10).wav,preprocessing\Gandingan_Gong_03_den_E2+30(10).wav,6.7201458333333335,48000,1
Gandingan_Gong_03_den_E2+30(11).wav,preprocessing\Gandingan_Gong_03_den_E2+30(11).wav,7.5877083333333335,48000,1
Gandingan_Gong_04_den_F#2-15(1).wav,preprocessing\Gandingan_Gong_04_den_F#2-15(1).wav,3.6051041666666666,48000,1
Gandingan_Gong_04_den_F#2-15(2).wav,preprocessing\Gandingan_Gong_04_den_F#2-15(2).wav,5.626541666666666,48000,1
Gandingan_Gong_04_den_F#2-15(3).wav,preprocessing\Gandingan_Gong_04_den_F#2-15(3).wav,5.2116875,48000,1
Gandingan_Gong_04_den_F#2-15(4).wav,preprocessing\Gandingan_Gong_04_den_F#2-15(4).wav,6.4625,48000,1
Gandingan_Gong_04_den_F#2-15(5).wav,preprocessing\Gandingan_Gong_04_den_F#2-15(5).wav,6.768416666666667,48000,1
Gandingan_Gong_04_den_F#2-15(6).wav,preprocessing\Gandingan_Gong_04_den_F#2-15(6).wav,6.724666666666667,48000,1
Gandingan_Gong_04_den_F#2-15(7).wav,preprocessing\Gandingan_Gong_04_den_F#2-15(7).wav,7.8178125,48000,1
Gandingan_Gong_04_den_F#2-15(8).wav,preprocessing\Gandingan_Gong_04_den_F#2-15(8).wav,5.884541666666666,48000,1
Kulintang_Gong_01_den(2).wav,preprocessing\Kulintang_Gong_01_den(2).wav,2.812666666666667,48000,1
Kulintang_Gong_01_den(3).wav,preprocessing\Kulintang_Gong_01_den(3).wav,3.3148541666666667,48000,1
Kulintang_Gong_01_den(4).wav,preprocessing\Kulintang_Gong_01_den(4).wav,3.50175,48000,1
Kulintang_Gong_01_den(5).wav,preprocessing\Kulintang_Gong_01_den(5).wav,3.1648958333333335,48000,1
Kulintang_Gong_01_den(6).wav,preprocessing\Kulintang_Gong_01_den(6).wav,2.923770833333333,48000,1
Kulintang_Gong_01_den(7).wav,preprocessing\Kulintang_Gong_01_den(7).wav,3.1586458333333334,48000,1
Kulintang_Gong_01_den(8).wav,preprocessing\Kulintang_Gong_01_den(8).wav,3.16525,48000,1
Kulintang_Gong_02_den(2).wav,preprocessing\Kulintang_Gong_02_den(2).wav,1.4736666666666667,48000,1
Kulintang_Gong_02_den(3).wav,preprocessing\Kulintang_Gong_02_den(3).wav,1.2346666666666666,48000,1
Kulintang_Gong_02_den(4).wav,preprocessing\Kulintang_Gong_02_den(4).wav,1.2775,48000,1
Kulintang_Gong_02_den(5).wav,preprocessing\Kulintang_Gong_02_den(5).wav,1.3979375,48000,1
Kulintang_Gong_02_den(6).wav,preprocessing\Kulintang_Gong_02_den(6).wav,1.4172291666666668,48000,1
Kulintang_Gong_02_den(7).wav,preprocessing\Kulintang_Gong_02_den(7).wav,1.6863541666666666,48000,1
Kulintang_Gong_02_den(8).wav,preprocessing\Kulintang_Gong_02_den(8).wav,1.6974791666666667,48000,1
Kulintang_Gong_02_den(9).wav,preprocessing\Kulintang_Gong_02_den(9).wav,1.9557708333333332,48000,1
Kulintang_Gong_03_den(2).wav,preprocessing\Kulintang_Gong_03_den(2).wav,1.188875,48000,1
Kulintang_Gong_03_den(3).wav,preprocessing\Kulintang_Gong_03_den(3).wav,1.2952291666666667,48000,1
Kulintang_Gong_03_den(4).wav,preprocessing\Kulintang_Gong_03_den(4).wav,1.1745833333333333,48000,1
Kulintang_Gong_03_den(5).wav,preprocessing\Kulintang_Gong_03_den(5).wav,0.9674791666666667,48000,1
Kulintang_Gong_03_den(6).wav,preprocessing\Kulintang_Gong_03_den(6).wav,1.1651041666666666,48000,1
Kulintang_Gong_03_den(7).wav,preprocessing\Kulintang_Gong_03_den(7).wav,1.4638958333333334,48000,1
Kulintang_Gong_03_den(8).wav,preprocessing\Kulintang_Gong_03_den(8).wav,1.4372291666666666,48000,1
Kulintang_Gong_04_den(2).wav,preprocessing\Kulintang_Gong_04_den(2).wav,1.1807083333333332,48000,1
Kulintang_Gong_04_den(3).wav,preprocessing\Kulintang_Gong_04_den(3).wav,1.6576458333333333,48000,1
